sentence_id	sentence	sentence_domain	source
a3faa06e7a15af3ab0126095bb0ea4c0d90e79f6a51c19064b5402aa02f1bab9	თეკლეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეე		მა
af2c5ef2abb08007cb38b649e8866b4c7c59802e54de2b8ecb9e5bcb26b1824b	სკან გულის ქგალე		წფ
af7402fc1bcbdabc0a48fc85488b76dc3e0f804c04f09a3d2d238b73d70baa53	მეფურინუნს	general	სფ
bd6284410a17456217b7c79bce6e841fa4b67655c74e23e203095398b7ed6dd7	თეკლე ეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეე		სს
bf04b108c89d739230dda3d614f40c4d65e00bec17a34d5d75ec8bf475a74c44	მარგალეფ ჯგირეფ ვორეთ	general	თინა
c044d72f2f833910232e7dc6e1a9b920731def013ae98d0b42405670ece956ed	მუ გოკო ბო 	general	ბარბარე ოყუჯავა
ca4c77b19501f54e3933fcafbf1f9541412c391cb8280b65820bb7a91832b6fa	ქობალიშ კაკალიშ თიაქ სარკონთ დეჭიჭარჷ დო ქირაგადუ, მანგიორი კარტოფილიშ თიას მუნუძინანთია არძოს.		ჯორჯ ორუელი „ორინჯეფიშ ფერმა“, მეგრულად თარგმნა გივი გ. ქარჩავამ, თბილისი, 2021.
cedf85f2d6baabce50709b16120d804d0edaed8ddd205e903658249e31e84ce9	ყველაფერი ადრეული სჯობია სიკვდილის მეტიო.	technology_robotics	სოფო
dc495159ce1a06ffc11f06413ab91aab2d6cd8f5fe371a81dcd312d94fd45557	თექლე ეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეეე დუდუცი ხარ		მე
ddefa1834574c91f4b94fe1e37294ce13c320a9f2b06657c3ebbe86f05638cd2	თეკლე  უჭკვიანესოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოოო ვხუმრობ		ოკ
e75b6b3089025e5cac5807d5e6279634794d0ac72db00c82178b6a9482ca7513	სი რექ დებილ		ანანანო კვარაცხელია
f7a3902ffc2c3203f403ae4631d9fd31a7623c0aa46690cd77f270cd80ec97dc	მუჭო რექ	general	თინა
fb9d42002cb1fbb311c4e821e49944151f9bcdb82cd3f84b68b693b8e8c08954	ათე შხვებ აფერისტებს მუშენ გვიძახუთ ???		გგგგ
fba8a5cd3e6959b5c6b332ecbf230855cb7796357443334fab4714b5b3e49139	ჯინქს	automotive_transport	ქართული ბავშვური გამონათქვამი
fe0eee131708ff5082099ebf7c36285cd9a79f0f38ee0c7704e5f0c6738c4467	თეკლეეეეეეეე სი ბოროოოოოოოოოოოოო		ოკ
